baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000017009	223.155589455273	-2.75931945631848	0.699230436493312	-3.94622332253821	7.93935676058014e-05	0.0100300540408662
ENSMUSG00000021025	914.788090337776	-1.93389720175441	0.485104921369949	-3.98655448865172	6.70397371900517e-05	0.00951008837619041
ENSMUSG00000038067	85.6740311036675	-7.45294985801653	1.4984067434913	-4.97391638845077	6.56136177861773e-07	0.000435182319966821
ENSMUSG00000105107	205.201944017546	-1.38485584880607	0.378991891926418	-3.6540513881889	0.000258134568351734	0.0244582503513268
